Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-09 00:00:00-05:00,190.373734663836,193.4890815135856,185.8293947326996,190.76425170898438,6960500,0.0,0.0
2020-11-10 00:00:00-05:00,191.0482671377734,193.82634848037083,187.43587296109493,193.01866149902344,4166500,0.0,0.0
2020-11-11 00:00:00-05:00,194.05710708469394,195.1931885925411,190.85299860969195,193.533447265625,2680700,0.0,0.0
2020-11-12 00:00:00-05:00,191.0216257052818,192.4772308896952,188.51868740717882,190.39144897460938,3005500,0.0,0.0
2020-11-13 00:00:00-05:00,191.5808022996455,196.11625742589342,191.19027175364226,194.4476318359375,2832100,0.0,0.0
2020-11-16 00:00:00-05:00,198.39732662836826,199.34702731175338,195.29085032992342,197.3766326904297,3004700,0.0,0.0
2020-11-17 00:00:00-05:00,195.282002816447,199.56894224404306,193.7820162010763,199.39141845703125,2722900,0.0,0.0
2020-11-18 00:00:00-05:00,199.70207265782182,202.11624990851612,198.37959627890447,199.08078002929688,2856200,0.0,0.0
2020-11-19 00:00:00-05:00,199.0807425597746,199.64878336225115,197.13697391817422,199.3203887939453,1505200,0.0,0.0
2020-11-20 00:00:00-05:00,197.9269110514074,199.5334008531251,197.59851647450594,198.23756408691406,1848100,0.0,0.0
2020-11-23 00:00:00-05:00,200.64286724158612,204.13987421017947,200.3499692751486,203.10142517089844,3371300,0.0,0.0
2020-11-24 00:00:00-05:00,205.1161921077457,211.34688608045641,204.69903564677426,210.79660034179688,3915200,0.0,0.0
2020-11-25 00:00:00-05:00,208.5776300753102,210.75216010576167,206.29658310951558,209.94447326660156,2272800,0.0,0.0
2020-11-27 00:00:00-05:00,210.35280220473302,210.61907428324452,207.50371398803273,208.9326934814453,1050400,0.0,0.0
2020-11-30 00:00:00-05:00,205.95936887728055,208.5776817480386,204.45938253099527,204.65464782714844,2705400,0.0,0.0
2020-12-01 00:00:00-05:00,207.00165020882164,209.5985306370883,206.4572842434985,207.10873413085938,2577600,1.25,0.0
2020-12-02 00:00:00-05:00,207.10874777824776,212.50778494740584,206.6625465843831,212.0794219970703,2136300,0.0,0.0
2020-12-03 00:00:00-05:00,211.75816803816952,213.1503272765353,209.39330702965998,210.13400268554688,2142600,0.0,0.0
2020-12-04 00:00:00-05:00,212.12403702792116,213.95346457878946,211.4547352617727,213.8017578125,2373000,0.0,0.0
2020-12-07 00:00:00-05:00,212.87364790335357,214.0427064054301,210.11612794456929,212.7933349609375,1788600,0.0,0.0
2020-12-08 00:00:00-05:00,211.50828989815636,213.4537342291636,211.1245633987213,213.14138793945312,1371800,0.0,0.0
2020-12-09 00:00:00-05:00,214.17656458196498,218.95984173564136,213.75713438696695,216.69314575195312,3552300,0.0,0.0
2020-12-10 00:00:00-05:00,214.17655418324958,218.79919160822166,213.7392721496798,218.10311889648438,2541700,0.0,0.0
2020-12-11 00:00:00-05:00,214.89942648426825,215.24746288647066,211.58862110226232,214.16766357421875,2077300,0.0,0.0
2020-12-14 00:00:00-05:00,217.10363943489105,217.29996903837028,211.84739021515134,212.204345703125,1927800,0.0,0.0
2020-12-15 00:00:00-05:00,213.73034537873244,217.3981192825205,211.66889829721984,216.34507751464844,2348000,0.0,0.0
2020-12-16 00:00:00-05:00,217.35349834216797,217.65691185097404,215.17603458818886,217.54090881347656,2400900,0.0,0.0
2020-12-17 00:00:00-05:00,218.63855864836205,219.4684862327961,216.85375408796725,218.1298828125,2983600,0.0,0.0
2020-12-18 00:00:00-05:00,218.98660396992588,218.98660396992588,214.67629914584182,216.07737731933594,4088100,0.0,0.0
2020-12-21 00:00:00-05:00,223.3594314213098,232.7832139214592,221.99405658977042,229.32962036132812,7408500,0.0,0.0
2020-12-22 00:00:00-05:00,229.2224625184567,229.97210448440416,222.92211750409805,223.180908203125,3599800,0.0,0.0
2020-12-23 00:00:00-05:00,224.4391803260936,232.54218129488578,224.2607025879974,228.85658264160156,3376100,0.0,0.0
2020-12-24 00:00:00-05:00,229.3830967082187,229.90067806354384,226.4470854915104,228.5977783203125,968100,0.0,0.0
2020-12-28 00:00:00-05:00,230.0702922984582,234.3895172421258,229.34744843347445,231.6587677001953,2793400,0.0,0.0
2020-12-29 00:00:00-05:00,232.2566695435983,232.79208922456579,228.90122762840778,230.24876403808594,1430900,0.0,0.0
2020-12-30 00:00:00-05:00,230.96264764735258,232.60466468637534,230.08808354912992,231.53379821777344,1566500,0.0,0.0
2020-12-31 00:00:00-05:00,230.95374979540807,235.53177885274366,230.2398387085015,235.33544921875,2043100,0.0,0.0
2021-01-04 00:00:00-05:00,238.27142270646007,238.78900407621427,232.1673940220549,236.4866180419922,3572000,0.0,0.0
2021-01-05 00:00:00-05:00,235.48710899579393,244.07201424356435,234.31806423242966,241.77853393554688,4207100,0.0,0.0
2021-01-06 00:00:00-05:00,246.56176923901845,257.35090672126984,243.71500452981965,254.8253936767578,6383500,0.0,0.0
2021-01-07 00:00:00-05:00,256.80660911801334,264.0529389259366,255.83389384480452,260.2691345214844,4009700,0.0,0.0
2021-01-08 00:00:00-05:00,260.5815585153652,260.8314301533501,254.38828230891974,258.8681335449219,2800800,0.0,0.0
2021-01-11 00:00:00-05:00,255.9410412696331,263.25875309675587,253.62081641934188,262.2146301269531,2649700,0.0,0.0
2021-01-12 00:00:00-05:00,265.1684724833961,271.27250186784784,264.1689588801393,269.69293212890625,4814400,0.0,0.0
2021-01-13 00:00:00-05:00,267.79207556082184,271.04043307013586,266.91753871905075,270.3443603515625,2413800,0.0,0.0
2021-01-14 00:00:00-05:00,271.3349131034021,276.1182036755971,270.87980644163974,274.743896484375,3192200,0.0,0.0
2021-01-15 00:00:00-05:00,268.7826351457699,272.0577361435981,264.93638363715274,268.62200927734375,3863700,0.0,0.0
2021-01-19 00:00:00-05:00,272.1826400214266,273.6104888257062,262.18772562542017,262.5447082519531,6727800,0.0,0.0
2021-01-20 00:00:00-05:00,263.9905148413093,265.44513527790434,256.5478812380948,259.2161560058594,4792600,0.0,0.0
2021-01-21 00:00:00-05:00,259.1982457210609,261.24182727548066,257.4848214094279,258.23443603515625,2516000,0.0,0.0
2021-01-22 00:00:00-05:00,255.84282218881495,259.323185774914,254.78086125390868,258.2523193359375,2568800,0.0,0.0
2021-01-25 00:00:00-05:00,254.8076906269371,255.53946723000732,247.64169947561393,252.5856170654297,4575000,0.0,0.0
2021-01-26 00:00:00-05:00,253.37976546258736,255.02178234200565,249.94401133761804,251.44326782226562,3296800,0.0,0.0
2021-01-27 00:00:00-05:00,246.30298319305683,247.52556973045975,242.12654784027936,243.92025756835938,3891800,0.0,0.0
2021-01-28 00:00:00-05:00,245.06267000792755,249.72101276612133,242.13559050843963,245.42855834960938,3778700,0.0,0.0
