datetime,symbol,open,high,low,close,volume
2025-11-06 11:20:00,NSE:NIFTY,25543.6,25546.1,25539.8,25540.65,868244.0
2025-11-06 11:21:00,NSE:NIFTY,25540.95,25544.6,25538.9,25541.15,587234.0
2025-11-06 11:22:00,NSE:NIFTY,25541.35,25544.8,25539.45,25541.1,696021.0
2025-11-06 11:23:00,NSE:NIFTY,25541.55,25543.9,25537.75,25538.35,629448.0
2025-11-06 11:24:00,NSE:NIFTY,25538.85,25539.85,25535.0,25535.45,600770.0
2025-11-06 11:25:00,NSE:NIFTY,25535.8,25538.4,25534.55,25537.15,419662.0
2025-11-06 11:26:00,NSE:NIFTY,25536.15,25539.55,25535.8,25537.3,760690.0
2025-11-06 11:27:00,NSE:NIFTY,25536.6,25537.3,25534.0,25535.7,723956.0
2025-11-06 11:28:00,NSE:NIFTY,25535.5,25543.5,25535.35,25543.5,701340.0
2025-11-06 11:29:00,NSE:NIFTY,25543.65,25544.0,25541.65,25543.0,643835.0
2025-11-06 11:30:00,NSE:NIFTY,25542.9,25547.55,25541.85,25545.05,604915.0
2025-11-06 11:31:00,NSE:NIFTY,25544.75,25545.65,25537.6,25537.75,953796.0
2025-11-06 11:32:00,NSE:NIFTY,25537.55,25537.85,25532.6,25533.45,781385.0
2025-11-06 11:33:00,NSE:NIFTY,25533.0,25533.0,25527.8,25531.75,833699.0
2025-11-06 11:34:00,NSE:NIFTY,25532.25,25533.45,25530.3,25530.35,533250.0
2025-11-06 11:35:00,NSE:NIFTY,25530.85,25532.3,25525.0,25528.9,756224.0
2025-11-06 11:36:00,NSE:NIFTY,25528.6,25530.8,25527.3,25530.8,803312.0
2025-11-06 11:37:00,NSE:NIFTY,25530.7,25533.55,25529.55,25532.6,449285.0
2025-11-06 11:38:00,NSE:NIFTY,25532.75,25533.3,25528.0,25533.3,645941.0
2025-11-06 11:39:00,NSE:NIFTY,25533.0,25534.7,25528.85,25531.15,902940.0
2025-11-06 11:40:00,NSE:NIFTY,25531.1,25534.65,25529.95,25532.85,554210.0
2025-11-06 11:41:00,NSE:NIFTY,25532.8,25535.85,25532.15,25535.85,399931.0
2025-11-06 11:42:00,NSE:NIFTY,25534.9,25535.25,25531.4,25533.45,355901.0
2025-11-06 11:43:00,NSE:NIFTY,25534.05,25535.1,25531.1,25534.3,543428.0
2025-11-06 11:44:00,NSE:NIFTY,25534.4,25538.4,25531.7,25531.95,992557.0
2025-11-06 11:45:00,NSE:NIFTY,25531.1,25536.3,25529.95,25535.15,462291.0
2025-11-06 11:46:00,NSE:NIFTY,25534.75,25541.65,25534.75,25541.65,387203.0
2025-11-06 11:47:00,NSE:NIFTY,25541.0,25546.8,25539.3,25546.5,786005.0
2025-11-06 11:48:00,NSE:NIFTY,25547.05,25552.2,25547.05,25551.35,736415.0
2025-11-06 11:49:00,NSE:NIFTY,25550.65,25554.1,25550.55,25551.6,513608.0
2025-11-06 11:50:00,NSE:NIFTY,25551.5,25554.8,25551.0,25554.0,643172.0
2025-11-06 11:51:00,NSE:NIFTY,25554.1,25555.9,25552.5,25553.1,720219.0
2025-11-06 11:52:00,NSE:NIFTY,25553.25,25557.45,25549.6,25554.9,1575393.0
2025-11-06 11:53:00,NSE:NIFTY,25554.65,25555.2,25550.25,25551.65,884126.0
2025-11-06 11:54:00,NSE:NIFTY,25551.5,25552.6,25548.5,25552.15,710638.0
2025-11-06 11:55:00,NSE:NIFTY,25552.2,25552.5,25548.45,25548.8,646719.0
2025-11-06 11:56:00,NSE:NIFTY,25549.1,25555.1,25547.35,25552.5,504237.0
2025-11-06 11:57:00,NSE:NIFTY,25550.65,25552.15,25547.0,25550.45,569352.0
2025-11-06 11:58:00,NSE:NIFTY,25549.95,25551.65,25548.3,25551.35,572231.0
2025-11-06 11:59:00,NSE:NIFTY,25551.65,25561.35,25551.65,25561.35,522511.0
2025-11-06 12:00:00,NSE:NIFTY,25559.3,25573.3,25559.3,25569.8,654577.0
2025-11-06 12:01:00,NSE:NIFTY,25569.75,25570.25,25559.85,25561.0,719346.0
2025-11-06 12:02:00,NSE:NIFTY,25560.45,25567.45,25559.0,25565.7,471856.0
2025-11-06 12:03:00,NSE:NIFTY,25565.75,25566.05,25560.9,25562.75,647082.0
2025-11-06 12:04:00,NSE:NIFTY,25562.6,25566.95,25562.35,25565.2,626625.0
2025-11-06 12:05:00,NSE:NIFTY,25564.55,25565.3,25560.7,25561.75,550303.0
2025-11-06 12:06:00,NSE:NIFTY,25561.4,25562.15,25556.7,25561.35,1104914.0
2025-11-06 12:07:00,NSE:NIFTY,25561.15,25574.4,25558.8,25573.9,839445.0
2025-11-06 12:08:00,NSE:NIFTY,25573.15,25573.6,25563.55,25565.0,579041.0
2025-11-06 12:09:00,NSE:NIFTY,25564.85,25566.8,25554.6,25555.05,554630.0
2025-11-06 12:10:00,NSE:NIFTY,25554.8,25556.15,25549.85,25553.1,1124978.0
2025-11-06 12:11:00,NSE:NIFTY,25553.55,25556.25,25550.95,25551.3,777690.0
2025-11-06 12:12:00,NSE:NIFTY,25551.6,25552.8,25544.7,25546.65,922008.0
